Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,1048576,262144,29.2245,2683.49
streamed,strong,1,1048576,262144,28.656,2606.72
streamed,strong,1,1048576,262144,29.3169,2693.53
streamed,strong,1,1048576,262144,29.2615,2694.99
streamed,strong,1,1048576,262144,29.3025,2696.49
streamed,strong,1,1048576,262144,29.3618,2690.59
streamed,strong,1,1048576,262144,29.4589,2690.37
streamed,strong,1,1048576,262144,29.4199,2696.22
streamed,strong,1,1048576,262144,28.7238,2669.71
streamed,strong,1,1048576,262144,29.3413,2687.56
streamed,strong,1,1048576,262144,28.8864,2672
streamed,strong,1,1048576,262144,29.3774,2686.11
streamed,strong,1,1048576,262144,28.7976,2670.62
streamed,strong,1,1048576,262144,28.6971,2670.28
streamed,strong,1,1048576,262144,28.5911,2670.5
streamed,strong,1,1048576,262144,29.5329,2693.45
streamed,strong,1,1048576,262144,29.4078,2687.63
streamed,strong,1,1048576,262144,29.5956,2694.5
streamed,strong,1,1048576,262144,29.3888,2688.9
streamed,strong,1,1048576,262144,28.685,2671.31
streamed,strong,1,1048576,262144,29.1905,2697.42
streamed,strong,1,1048576,262144,28.5539,2672.91
streamed,strong,1,1048576,262144,28.7611,2672.34
streamed,strong,1,1048576,262144,29.2886,2692.29
streamed,strong,1,1048576,262144,28.9432,2606.32
streamed,strong,1,1048576,262144,29.1556,2671.14
streamed,strong,1,1048576,262144,28.9317,2671.52
streamed,strong,1,1048576,262144,29.2018,2673.81
streamed,strong,1,1048576,262144,29.9018,2690.89
streamed,strong,1,1048576,262144,29.1082,2669.78
streamed,strong,1,1048576,262144,29.8981,2691.76
streamed,strong,1,1048576,262144,29.1122,2671.36
streamed,strong,1,1048576,262144,29.276,2683.33
streamed,strong,1,1048576,262144,29.4376,2698.15
streamed,strong,1,1048576,262144,28.7033,2671.94
streamed,strong,1,1048576,262144,29.5454,2687.62
streamed,strong,1,1048576,262144,28.4444,2670.85
streamed,strong,1,1048576,262144,28.5903,2670.85
streamed,strong,1,1048576,262144,29.2919,2692.46
streamed,strong,1,1048576,262144,29.4582,2692.66
streamed,strong,1,1048576,262144,29.5367,2688.28
streamed,strong,1,1048576,262144,28.5942,2670.07
streamed,strong,1,1048576,262144,28.4504,2674.95
streamed,strong,1,1048576,262144,28.7945,2672.01
streamed,strong,1,1048576,262144,29.5238,2694.85
streamed,strong,1,1048576,262144,29.4845,2699.69
streamed,strong,1,1048576,262144,29.285,2690.96
streamed,strong,1,1048576,262144,29.0196,2670.36
streamed,strong,1,1048576,262144,29.4151,2692.99
streamed,strong,1,1048576,262144,29.2109,2692.52
streamed,strong,1,1048576,262144,29.3379,2683.71
streamed,strong,1,1048576,262144,28.6707,2671.97
streamed,strong,1,1048576,262144,28.6655,2671.31
streamed,strong,1,1048576,262144,29.446,2689.24
streamed,strong,1,1048576,262144,28.5634,2681.69
streamed,strong,1,1048576,262144,28.7143,2675.66
streamed,strong,1,1048576,262144,29.325,2700.74
streamed,strong,1,1048576,262144,29.3817,2689.24
streamed,strong,1,1048576,262144,29.2997,2691.15
streamed,strong,1,1048576,262144,28.6293,2670.56
streamed,strong,1,1048576,262144,29.4894,2679
streamed,strong,1,1048576,262144,29.3554,2690.05
streamed,strong,1,1048576,262144,28.5371,2670.82
streamed,strong,1,1048576,262144,29.7488,2697.01
streamed,strong,1,1048576,262144,29.5334,2682.02
streamed,strong,1,1048576,262144,29.3882,2694.94
streamed,strong,1,1048576,262144,29.3438,2696
streamed,strong,1,1048576,262144,29.4243,2692.87
streamed,strong,1,1048576,262144,29.4871,2694.15
streamed,strong,1,1048576,262144,29.1662,2700.51
streamed,strong,1,1048576,262144,29.7112,2689.66
streamed,strong,1,1048576,262144,29.3806,2698.42
streamed,strong,1,1048576,262144,28.5541,2671.77
streamed,strong,1,1048576,262144,29.2994,2690.21
streamed,strong,1,1048576,262144,28.5453,2669.71
streamed,strong,1,1048576,262144,28.3441,2671.43
streamed,strong,1,1048576,262144,28.8059,2670.41
streamed,strong,1,1048576,262144,29.3763,2684.93
streamed,strong,1,1048576,262144,29.161,2690.83
streamed,strong,1,1048576,262144,29.1993,2697.92
streamed,strong,1,1048576,262144,29.415,2698.23
threaded,strong,2,104857600,262144,230.397,53103.9
threaded,strong,2,104857600,262144,195.27,54285.1
threaded,weak,2,209715200,262144,200.023,107446
threaded,weak,2,209715200,262144,288.74,107657
threaded,strong,2,1048576,262144,212.808,557.764
threaded,strong,2,1048576,262144,277.171,547.938
